redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Vitor Belfort,Randy Couture,Vitor Belfort,UFC 46: Supernatural,John McCarthy,TKO - Doctor's Stoppage,0,0,1 of 1,1 of 2,100%,50%,1 of 1,1 of 2,0 of 0,0 of 0,---,---,0,0
Renato Verissimo,Carlos Newton,Renato Verissimo,UFC 46: Supernatural,Larry Landless,Decision - Unanimous,0,0,22 of 36,4 of 9,61%,44%,124 of 151,19 of 25,3 of 4,2 of 5,75%,40%,1,0
BJ Penn,Matt Hughes,BJ Penn,UFC 46: Supernatural,Mario Yamasaki,Submission,0,0,17 of 23,4 of 8,73%,50%,33 of 39,10 of 14,0 of 0,0 of 1,---,0%,1,0
Frank Mir,Wes Sims,Frank Mir,UFC 46: Supernatural,John McCarthy,KO/TKO,1,0,28 of 44,18 of 25,63%,72%,68 of 90,83 of 99,4 of 7,0 of 0,57%,---,2,0
Lee Murray,Jorge Rivera,Lee Murray,UFC 46: Supernatural,Mario Yamasaki,Submission,0,0,0 of 1,2 of 4,0%,50%,2 of 4,6 of 12,0 of 0,1 of 2,---,50%,2,0
Georges St-Pierre,Karo Parisyan,Georges St-Pierre,UFC 46: Supernatural,Steve Mazzagatti,Decision - Unanimous,0,0,46 of 80,1 of 7,57%,14%,138 of 177,23 of 33,6 of 8,0 of 2,75%,0%,0,4
Josh Thomson,Hermes Franca,Josh Thomson,UFC 46: Supernatural,Larry Landless,Decision - Majority,0,1,40 of 68,22 of 46,58%,47%,82 of 112,60 of 87,2 of 3,2 of 3,66%,66%,0,1
Matt Serra,Jeff Curran,Matt Serra,UFC 46: Supernatural,Steve Mazzagatti,Decision - Unanimous,0,0,45 of 80,9 of 15,56%,60%,118 of 159,19 of 25,6 of 10,0 of 2,60%,0%,0,1
Matt Hughes,Frank Trigg,Matt Hughes,UFC 45: Revolution,John McCarthy,Submission,0,0,0 of 0,0 of 3,---,0%,0 of 0,1 of 4,1 of 1,1 of 1,100%,100%,2,1
Matt Lindland,Falaniko Vitale,Matt Lindland,UFC 45: Revolution,Larry Landless,KO/TKO,0,0,35 of 62,3 of 18,56%,16%,93 of 121,10 of 27,1 of 3,0 of 1,33%,0%,1,0
Wesley Correira,David Abbott,Wesley Correira,UFC 45: Revolution,John McCarthy,TKO - Doctor's Stoppage,1,0,13 of 24,11 of 26,54%,42%,19 of 30,17 of 33,0 of 0,0 of 0,---,---,0,0
Evan Tanner,Phil Baroni,Evan Tanner,UFC 45: Revolution,Larry Landless,KO/TKO,0,2,28 of 34,17 of 32,82%,53%,40 of 46,29 of 45,1 of 4,0 of 0,25%,---,0,0
Robbie Lawler,Chris Lytle,Robbie Lawler,UFC 45: Revolution,John McCarthy,Decision - Unanimous,1,0,30 of 72,37 of 97,41%,38%,51 of 93,64 of 125,3 of 4,1 of 1,75%,100%,0,1
Pedro Rizzo,Ricco Rodriguez,Pedro Rizzo,UFC 45: Revolution,Larry Landless,Decision - Unanimous,0,0,30 of 93,15 of 33,32%,45%,45 of 110,27 of 47,0 of 0,0 of 12,---,0%,0,0
Keith Rockel,Chris Liguori,Keith Rockel,UFC 45: Revolution,John McCarthy,Submission,0,0,5 of 5,1 of 3,100%,33%,17 of 19,12 of 14,1 of 2,0 of 0,50%,---,1,0
Yves Edwards,Nick Agallar,Yves Edwards,UFC 45: Revolution,Larry Landless,KO/TKO,1,0,33 of 57,5 of 43,57%,11%,39 of 63,10 of 48,0 of 0,0 of 2,---,0%,0,0
Randy Couture,Tito Ortiz,Randy Couture,UFC 44: Undisputed,John McCarthy,Decision - Unanimous,0,0,88 of 136,16 of 30,64%,53%,194 of 244,34 of 48,8 of 12,2 of 6,66%,33%,0,0
Andrei Arlovski,Vladimir Matyushenko,Andrei Arlovski,UFC 44: Undisputed,Larry Landless,KO/TKO,2,0,9 of 20,5 of 17,45%,29%,26 of 39,5 of 17,0 of 0,0 of 6,---,0%,0,0
Tim Sylvia,Gan McGee,Tim Sylvia,UFC 44: Undisputed,John McCarthy,KO/TKO,1,0,10 of 34,7 of 25,29%,28%,10 of 34,7 of 25,0 of 0,0 of 0,---,---,0,0
Jorge Rivera,David Loiseau,Jorge Rivera,UFC 44: Undisputed,Larry Landless,Decision - Unanimous,1,0,80 of 136,35 of 78,58%,44%,154 of 210,49 of 92,0 of 0,0 of 3,---,0%,0,0
Rich Franklin,Edwin DeWees,Rich Franklin,UFC 44: Undisputed,Sean Brockmole,KO/TKO,1,0,37 of 46,4 of 6,80%,66%,44 of 53,13 of 15,0 of 0,1 of 1,---,100%,0,1
Karo Parisyan,Dave Strasser,Karo Parisyan,UFC 44: Undisputed,Steve Mazzagatti,Submission,0,0,13 of 22,2 of 11,59%,18%,19 of 28,11 of 20,3 of 4,0 of 1,75%,0%,1,0
Josh Thomson,Gerald Strebendt,Josh Thomson,UFC 44: Undisputed,John McCarthy,KO/TKO,1,0,11 of 18,0 of 0,61%,---,19 of 26,0 of 0,1 of 1,0 of 0,100%,---,0,3
Nick Diaz,Jeremy Jackson,Nick Diaz,UFC 44: Undisputed,Steve Mazzagatti,Submission,0,0,17 of 24,9 of 37,70%,24%,92 of 107,71 of 103,6 of 13,0 of 0,46%,---,2,0
Hermes Franca,Caol Uno,Hermes Franca,UFC 44: Undisputed,Sean Brockmole,KO/TKO,1,0,13 of 22,32 of 49,59%,65%,35 of 44,52 of 71,2 of 2,1 of 4,100%,25%,1,0
Randy Couture,Chuck Liddell,Randy Couture,UFC 43: Meltdown,John McCarthy,KO/TKO,0,0,46 of 87,22 of 59,52%,37%,56 of 99,35 of 72,4 of 5,0 of 1,80%,0%,1,0
Kimo Leopoldo,David Abbott,Kimo Leopoldo,UFC 43: Meltdown,Larry Landless,Submission,0,0,1 of 1,0 of 0,100%,---,1 of 1,3 of 3,1 of 1,0 of 0,100%,---,1,0
Vitor Belfort,Marvin Eastman,Vitor Belfort,UFC 43: Meltdown,John McCarthy,KO/TKO,1,0,9 of 12,1 of 5,75%,20%,9 of 12,1 of 5,0 of 0,0 of 0,---,---,0,0
Vernon White,Ian Freeman,,UFC 43: Meltdown,Larry Landless,Decision - Split,0,0,45 of 82,18 of 54,54%,33%,107 of 148,75 of 116,1 of 5,2 of 5,20%,40%,0,1
Frank Mir,Wes Sims,Frank Mir,UFC 43: Meltdown,Nelson Hamilton,DQ,0,0,4 of 7,1 of 1,57%,100%,18 of 21,8 of 11,1 of 1,0 of 0,100%,---,4,0
Yves Edwards,Eddie Ruiz,Yves Edwards,UFC 43: Meltdown,Nelson Hamilton,Decision - Unanimous,1,0,21 of 40,3 of 12,52%,25%,57 of 79,30 of 43,0 of 0,2 of 16,---,12%,3,0
Falaniko Vitale,Matt Lindland,Falaniko Vitale,UFC 43: Meltdown,John McCarthy,KO/TKO,0,0,2 of 7,2 of 9,28%,22%,6 of 11,6 of 13,0 of 1,0 of 3,0%,0%,0,0
Pedro Rizzo,Tra Telligman,Pedro Rizzo,UFC 43: Meltdown,Larry Landless,TKO - Doctor's Stoppage,0,1,40 of 91,34 of 67,43%,50%,67 of 121,42 of 77,1 of 3,0 of 0,33%,---,0,0
Matt Hughes,Sean Sherk,Matt Hughes,UFC 42: Sudden Impact,John McCarthy,Decision - Unanimous,0,0,44 of 88,19 of 39,50%,48%,96 of 140,144 of 167,5 of 7,3 of 5,71%,60%,1,1
Pete Spratt,Robbie Lawler,Pete Spratt,UFC 42: Sudden Impact,John McCarthy,Submission,0,0,19 of 27,15 of 25,70%,60%,25 of 33,24 of 34,1 of 1,2 of 2,100%,100%,0,0
Dave Strasser,Romie Aram,Dave Strasser,UFC 42: Sudden Impact,Jorge Alonso,Decision - Unanimous,0,1,60 of 125,24 of 70,48%,34%,107 of 176,78 of 125,1 of 2,2 of 4,50%,50%,0,0
Wesley Correira,Sean Alvarez,Wesley Correira,UFC 42: Sudden Impact,John McCarthy,KO/TKO,0,0,22 of 42,6 of 16,52%,37%,75 of 95,16 of 26,0 of 0,0 of 9,---,0%,0,0
Rich Franklin,Evan Tanner,Rich Franklin,UFC 42: Sudden Impact,Larry Landless,KO/TKO,1,0,16 of 38,6 of 14,42%,42%,16 of 38,6 of 14,0 of 0,0 of 0,---,---,0,0
Duane Ludwig,Genki Sudo,Duane Ludwig,UFC 42: Sudden Impact,John McCarthy,Decision - Unanimous,0,0,38 of 57,24 of 63,66%,38%,73 of 101,52 of 96,0 of 0,3 of 6,---,50%,0,0
Hermes Franca,Richard Crunkilton,Hermes Franca,UFC 42: Sudden Impact,James Warring,Decision - Unanimous,1,0,27 of 54,29 of 89,50%,32%,97 of 125,77 of 148,2 of 11,4 of 7,18%,57%,9,0
David Loiseau,Mark Weir,David Loiseau,UFC 42: Sudden Impact,John McCarthy,KO/TKO,0,0,16 of 20,2 of 2,80%,100%,19 of 24,12 of 12,1 of 2,0 of 0,50%,---,0,0
Tim Sylvia,Ricco Rodriguez,Tim Sylvia,UFC 41: Onslaught,John McCarthy,KO/TKO,1,0,12 of 25,7 of 10,48%,70%,15 of 28,10 of 13,0 of 0,0 of 2,---,0%,0,1
Frank Mir,David Abbott,Frank Mir,UFC 41: Onslaught,Larry Landless,Submission,0,0,0 of 1,1 of 5,0%,20%,0 of 1,2 of 6,0 of 2,0 of 0,0%,---,2,0
BJ Penn,Caol Uno,,UFC 41: Onslaught,John McCarthy,Decision - Split,0,0,67 of 93,64 of 97,72%,65%,111 of 137,105 of 138,5 of 8,6 of 7,62%,85%,0,1
Matt Lindland,Phil Baroni,Matt Lindland,UFC 41: Onslaught,John McCarthy,Decision - Unanimous,0,0,40 of 76,44 of 73,52%,60%,180 of 230,83 of 113,4 of 13,1 of 2,30%,50%,2,0
Vladimir Matyushenko,Pedro Rizzo,Vladimir Matyushenko,UFC 41: Onslaught,Larry Landless,Decision - Unanimous,0,0,24 of 38,12 of 37,63%,32%,94 of 113,29 of 54,5 of 19,0 of 3,26%,0%,0,0
Din Thomas,Matt Serra,Din Thomas,UFC 41: Onslaught,Larry Landless,Decision - Split,0,0,29 of 61,26 of 81,47%,32%,59 of 92,42 of 97,0 of 0,1 of 28,---,3%,0,0
Gan McGee,Alexandre Dantas,Gan McGee,UFC 41: Onslaught,John McCarthy,KO/TKO,0,0,9 of 23,1 of 4,39%,25%,13 of 28,1 of 4,0 of 0,0 of 7,---,0%,0,1
Yves Edwards,Rich Clementi,Yves Edwards,UFC 41: Onslaught,Larry Landless,Submission,1,0,51 of 96,31 of 64,53%,48%,79 of 129,59 of 95,0 of 0,2 of 8,---,25%,1,0
Tito Ortiz,Ken Shamrock,Tito Ortiz,UFC 40: Vendetta,John McCarthy,KO/TKO,0,0,74 of 126,12 of 44,58%,27%,155 of 214,48 of 84,3 of 5,0 of 1,60%,0%,1,0
Chuck Liddell,Renato Sobral,Chuck Liddell,UFC 40: Vendetta,Larry Landless,KO/TKO,1,0,13 of 35,10 of 18,37%,55%,13 of 35,10 of 18,0 of 0,0 of 2,---,0%,0,0
Matt Hughes,Gil Castillo,Matt Hughes,UFC 40: Vendetta,John McCarthy,TKO - Doctor's Stoppage,0,0,22 of 32,1 of 2,68%,50%,36 of 46,1 of 2,1 of 1,0 of 0,100%,---,0,0
Carlos Newton,Pete Spratt,Carlos Newton,UFC 40: Vendetta,Larry Landless,Submission,0,0,0 of 0,1 of 2,---,50%,0 of 0,3 of 4,1 of 1,0 of 0,100%,---,1,0
Robbie Lawler,Tiki Ghosn,Robbie Lawler,UFC 40: Vendetta,Nelson Hamilton,KO/TKO,1,0,5 of 11,7 of 14,45%,50%,5 of 11,7 of 14,0 of 0,0 of 0,---,---,0,0
Andrei Arlovski,Ian Freeman,Andrei Arlovski,UFC 40: Vendetta,Larry Landless,KO/TKO,1,0,14 of 26,1 of 11,53%,9%,14 of 26,1 of 11,0 of 0,0 of 0,---,---,0,0
Vladimir Matyushenko,Travis Wiuff,Vladimir Matyushenko,UFC 40: Vendetta,John McCarthy,KO/TKO,0,0,24 of 32,0 of 0,75%,---,56 of 66,3 of 3,2 of 3,0 of 3,66%,0%,0,1
Phillip Miller,Mark Weir,Phillip Miller,UFC 40: Vendetta,Nelson Hamilton,Submission,0,1,10 of 21,19 of 31,47%,61%,20 of 33,39 of 57,2 of 2,0 of 0,100%,---,1,3
Ricco Rodriguez,Randy Couture,Ricco Rodriguez,UFC 39: The Warriors Return,John McCarthy,KO/TKO,0,0,39 of 80,39 of 78,48%,50%,128 of 172,75 of 114,4 of 5,5 of 5,80%,100%,1,0
Tim Sylvia,Wesley Correira,Tim Sylvia,UFC 39: The Warriors Return,Kipp Kollar,KO/TKO,0,0,138 of 214,26 of 65,64%,40%,155 of 232,26 of 65,0 of 0,0 of 1,---,0%,0,0
BJ Penn,Matt Serra,BJ Penn,UFC 39: The Warriors Return,John McCarthy,Decision - Unanimous,0,0,32 of 52,8 of 49,61%,16%,71 of 92,22 of 63,1 of 1,1 of 17,100%,5%,0,1
Caol Uno,Din Thomas,Caol Uno,UFC 39: The Warriors Return,Larry Landless,Decision - Unanimous,0,0,35 of 56,11 of 24,62%,45%,85 of 112,59 of 78,0 of 0,3 of 6,---,50%,0,4
Gan McGee,Pedro Rizzo,Gan McGee,UFC 39: The Warriors Return,John McCarthy,KO/TKO,0,0,17 of 58,14 of 28,29%,50%,17 of 58,14 of 28,0 of 3,0 of 0,0%,---,0,0
Phil Baroni,Dave Menne,Phil Baroni,UFC 39: The Warriors Return,Larry Landless,KO/TKO,1,0,8 of 13,1 of 7,61%,14%,8 of 13,1 of 7,0 of 0,0 of 0,---,---,0,0
Matt Lindland,Ivan Salaverry,Matt Lindland,UFC 39: The Warriors Return,Kipp Kollar,Decision - Unanimous,0,0,16 of 63,32 of 70,25%,45%,85 of 145,50 of 89,6 of 9,0 of 2,66%,0%,0,0
Sean Sherk,Benji Radach,Sean Sherk,UFC 39: The Warriors Return,Larry Landless,TKO - Doctor's Stoppage,0,0,6 of 8,7 of 18,75%,38%,15 of 17,36 of 47,1 of 5,0 of 0,20%,---,0,0
Matt Hughes,Carlos Newton,Matt Hughes,UFC 38: Brawl at the Hall,John McCarthy,KO/TKO,0,0,58 of 77,3 of 9,75%,33%,104 of 123,8 of 14,4 of 6,0 of 1,66%,0%,1,1
Ian Freeman,Frank Mir,Ian Freeman,UFC 38: Brawl at the Hall,John McCarthy,KO/TKO,0,0,34 of 44,6 of 10,77%,60%,60 of 70,6 of 10,0 of 0,1 of 5,---,20%,0,3
Mark Weir,Eugene Jackson,Mark Weir,UFC 38: Brawl at the Hall,Larry Landless,KO/TKO,1,0,4 of 6,0 of 1,66%,0%,4 of 6,0 of 1,0 of 0,0 of 0,---,---,0,0
Genki Sudo,Leigh Remedios,Genki Sudo,UFC 38: Brawl at the Hall,John McCarthy,Submission,0,0,9 of 29,5 of 12,31%,41%,17 of 37,32 of 42,2 of 3,0 of 0,66%,---,3,0
Phillip Miller,James Zikic,Phillip Miller,UFC 38: Brawl at the Hall,Larry Landless,Decision - Unanimous,0,0,30 of 53,29 of 66,56%,43%,82 of 114,55 of 93,4 of 22,0 of 1,18%,0%,0,1
Renato Sobral,Elvis Sinosic,Renato Sobral,UFC 38: Brawl at the Hall,John McCarthy,Decision - Unanimous,0,0,42 of 90,7 of 20,46%,35%,117 of 174,79 of 99,4 of 4,0 of 1,100%,0%,0,0
Evan Tanner,Chris Haseman,Evan Tanner,UFC 38: Brawl at the Hall,Larry Landless,Decision - Unanimous,0,0,70 of 98,14 of 20,71%,70%,131 of 161,49 of 56,3 of 5,0 of 0,60%,---,0,2
Chuck Liddell,Vitor Belfort,Chuck Liddell,UFC 37.5: As Real As It Gets,John McCarthy,Decision - Unanimous,1,0,43 of 78,20 of 42,55%,47%,59 of 95,26 of 49,0 of 0,3 of 4,---,75%,0,0
Benji Radach,Nick Serra,Benji Radach,UFC 37.5: As Real As It Gets,John McCarthy,Decision - Unanimous,1,0,26 of 46,0 of 8,56%,0%,67 of 92,23 of 31,0 of 0,1 of 10,---,10%,0,2
Pete Spratt,Zach Light,Pete Spratt,UFC 37.5: As Real As It Gets,Kipp Kollar,Submission,0,0,3 of 5,2 of 5,60%,40%,5 of 7,13 of 16,0 of 0,1 of 1,---,100%,1,0
Robbie Lawler,Steve Berger,Robbie Lawler,UFC 37.5: As Real As It Gets,John McCarthy,KO/TKO,1,0,28 of 51,11 of 37,54%,29%,39 of 62,28 of 54,1 of 1,1 of 3,100%,33%,0,0
Tony Fryklund,Rodrigo Ruas,Tony Fryklund,UFC 37.5: As Real As It Gets,Kipp Kollar,KO/TKO,1,0,60 of 102,11 of 31,58%,35%,127 of 174,19 of 42,0 of 0,0 of 0,---,---,1,0
Yves Edwards,Joao Pierini,Yves Edwards,UFC 37.5: As Real As It Gets,Cecil Peoples,KO/TKO,0,0,6 of 9,1 of 7,66%,14%,6 of 9,1 of 7,0 of 0,0 of 0,---,---,0,0
Murilo Bustamante,Matt Lindland,Murilo Bustamante,UFC 37: High Impact,John McCarthy,Submission,1,0,17 of 40,35 of 66,42%,53%,39 of 62,82 of 113,2 of 2,0 of 3,100%,0%,2,1
Ricco Rodriguez,Tsuyoshi Kohsaka,Ricco Rodriguez,UFC 37: High Impact,John McCarthy,KO/TKO,0,0,19 of 33,6 of 11,57%,54%,58 of 77,27 of 33,3 of 5,1 of 1,60%,100%,1,0
BJ Penn,Paul Creighton,BJ Penn,UFC 37: High Impact,Larry Landless,KO/TKO,0,0,39 of 56,6 of 8,69%,75%,91 of 108,8 of 10,0 of 0,3 of 8,---,37%,0,0
Phil Baroni,Amar Suloev,Phil Baroni,UFC 37: High Impact,John McCarthy,KO/TKO,0,0,11 of 23,9 of 15,47%,60%,19 of 33,9 of 15,0 of 2,1 of 1,0%,100%,0,1
Caol Uno,Yves Edwards,Caol Uno,UFC 37: High Impact,Larry Landless,Decision - Unanimous,0,0,19 of 32,13 of 23,59%,56%,58 of 81,30 of 42,3 of 6,1 of 1,50%,100%,1,1
Ivan Salaverry,Andrei Semenov,Ivan Salaverry,UFC 37: High Impact,Mason White,KO/TKO,0,0,43 of 72,5 of 46,59%,10%,156 of 190,5 of 46,2 of 2,1 of 2,100%,50%,8,1
Benji Radach,Steve Berger,,UFC 37: High Impact,John McCarthy,Overturned,1,0,10 of 12,0 of 2,83%,0%,10 of 12,0 of 2,0 of 0,0 of 0,---,---,0,0
Robbie Lawler,Aaron Riley,Robbie Lawler,UFC 37: High Impact,John McCarthy,Decision - Unanimous,1,0,64 of 153,55 of 130,41%,42%,87 of 176,93 of 170,6 of 8,0 of 3,75%,0%,0,1
Josh Barnett,Randy Couture,Josh Barnett,UFC 36: Worlds Collide,John McCarthy,KO/TKO,0,0,44 of 75,18 of 21,58%,85%,53 of 85,33 of 37,0 of 0,1 of 3,---,33%,1,0
Pedro Rizzo,Andrei Arlovski,Pedro Rizzo,UFC 36: Worlds Collide,Larry Landless,KO/TKO,1,0,27 of 80,38 of 95,33%,40%,27 of 80,38 of 95,0 of 0,0 of 0,---,---,0,0
Matt Hughes,Hayato Sakurai,Matt Hughes,UFC 36: Worlds Collide,John McCarthy,KO/TKO,0,1,36 of 58,5 of 12,62%,41%,112 of 137,14 of 22,9 of 11,0 of 0,81%,---,0,0
Matt Lindland,Pat Miletich,Matt Lindland,UFC 36: Worlds Collide,Larry Landless,KO/TKO,0,0,20 of 40,1 of 2,50%,50%,62 of 85,1 of 2,1 of 1,0 of 0,100%,---,0,0
Evan Tanner,Elvis Sinosic,Evan Tanner,UFC 36: Worlds Collide,Mason White,TKO - Doctor's Stoppage,0,0,7 of 13,4 of 8,53%,50%,12 of 18,7 of 11,0 of 0,0 of 0,---,---,0,0
Frank Mir,Pete Williams,Frank Mir,UFC 36: Worlds Collide,John McCarthy,Submission,0,0,4 of 6,0 of 1,66%,0%,4 of 6,0 of 1,0 of 0,1 of 1,---,100%,1,0
Matt Serra,Kelly Dullanty,Matt Serra,UFC 36: Worlds Collide,Larry Landless,Submission,0,0,2 of 8,0 of 1,25%,0%,14 of 20,17 of 21,1 of 3,0 of 0,33%,---,3,0
Sean Sherk,Jutaro Nakao,Sean Sherk,UFC 36: Worlds Collide,Mason White,Decision - Unanimous,0,0,21 of 30,4 of 20,70%,20%,227 of 241,8 of 24,7 of 14,0 of 0,50%,---,0,0
Jens Pulver,BJ Penn,Jens Pulver,UFC 35: Throwdown,John McCarthy,Decision - Majority,0,0,38 of 98,49 of 93,38%,52%,122 of 186,161 of 210,1 of 1,7 of 10,100%,70%,0,2
Ricco Rodriguez,Jeff Monson,Ricco Rodriguez,UFC 35: Throwdown,Larry Landless,KO/TKO,0,0,42 of 65,7 of 20,64%,35%,100 of 126,45 of 60,3 of 4,2 of 6,75%,33%,1,0
Murilo Bustamante,Dave Menne,Murilo Bustamante,UFC 35: Throwdown,John McCarthy,KO/TKO,1,0,9 of 12,14 of 33,75%,42%,14 of 17,23 of 42,2 of 7,0 of 0,28%,---,0,0
Chuck Liddell,Amar Suloev,Chuck Liddell,UFC 35: Throwdown,Larry Landless,Decision - Unanimous,0,0,46 of 144,26 of 69,31%,37%,46 of 144,26 of 69,0 of 0,0 of 0,---,---,0,0
Andrei Semenov,Ricardo Almeida,Andrei Semenov,UFC 35: Throwdown,Mason White,KO/TKO,1,0,5 of 29,12 of 35,17%,34%,35 of 59,12 of 35,0 of 0,1 of 4,---,25%,0,5
Kevin Randleman,Renato Sobral,Kevin Randleman,UFC 35: Throwdown,John McCarthy,Decision - Unanimous,0,0,18 of 39,2 of 3,46%,66%,72 of 100,24 of 26,1 of 1,0 of 0,100%,---,0,5
Gil Castillo,Chris Brennan,Gil Castillo,UFC 35: Throwdown,Mason White,Decision - Unanimous,0,0,17 of 33,8 of 23,51%,34%,120 of 150,97 of 115,3 of 3,0 of 2,100%,0%,0,1
Eugene Jackson,Keith Rockel,Eugene Jackson,UFC 35: Throwdown,Larry Landless,Submission,0,0,1 of 3,6 of 10,33%,60%,44 of 47,21 of 25,0 of 1,2 of 2,0%,100%,1,2
Randy Couture,Pedro Rizzo,Randy Couture,UFC 34: High Voltage,John McCarthy,KO/TKO,0,0,41 of 52,13 of 34,78%,38%,98 of 111,20 of 42,3 of 5,1 of 1,60%,100%,0,0
Ricco Rodriguez,Pete Williams,Ricco Rodriguez,UFC 34: High Voltage,Mario Yamasaki,KO/TKO,0,0,26 of 43,4 of 6,60%,66%,86 of 107,10 of 13,5 of 6,0 of 0,83%,---,1,1
Matt Hughes,Carlos Newton,Matt Hughes,UFC 34: High Voltage,John McCarthy,KO/TKO,0,0,8 of 14,2 of 7,57%,28%,14 of 20,18 of 23,4 of 4,0 of 0,100%,---,1,1
BJ Penn,Caol Uno,BJ Penn,UFC 34: High Voltage,Larry Landless,KO/TKO,1,0,5 of 6,0 of 1,83%,0%,5 of 6,0 of 1,1 of 1,0 of 0,100%,---,0,0
Josh Barnett,Bobby Hoffman,Josh Barnett,UFC 34: High Voltage,John McCarthy,KO/TKO,0,0,17 of 20,6 of 14,85%,42%,83 of 88,21 of 31,2 of 2,1 of 2,100%,50%,1,1
Evan Tanner,Homer Moore,Evan Tanner,UFC 34: High Voltage,Mario Yamasaki,Submission,0,0,4 of 4,4 of 8,100%,50%,6 of 7,12 of 16,0 of 0,2 of 3,---,66%,4,0
Matt Lindland,Phil Baroni,Matt Lindland,UFC 34: High Voltage,John McCarthy,Decision - Majority,0,1,71 of 94,32 of 54,75%,59%,215 of 242,80 of 103,4 of 9,0 of 1,44%,0%,0,2
Frank Mir,Roberto Traven,Frank Mir,UFC 34: High Voltage,Larry Landless,Submission,0,0,3 of 7,1 of 2,42%,50%,6 of 11,1 of 2,0 of 0,0 of 0,---,---,1,0
Tito Ortiz,Vladimir Matyushenko,Tito Ortiz,UFC 33: Victory in Vegas,John McCarthy,Decision - Unanimous,0,0,64 of 84,19 of 49,76%,38%,248 of 269,103 of 138,5 of 9,1 of 6,55%,16%,0,0
Jens Pulver,Dennis Hallman,Jens Pulver,UFC 33: Victory in Vegas,Mario Yamasaki,Decision - Unanimous,0,0,27 of 60,15 of 48,45%,31%,100 of 136,56 of 91,0 of 0,2 of 12,---,16%,1,3
Chuck Liddell,Murilo Bustamante,Chuck Liddell,UFC 33: Victory in Vegas,John McCarthy,Decision - Unanimous,1,0,27 of 78,15 of 30,34%,50%,27 of 78,15 of 30,0 of 0,2 of 20,---,10%,0,0
Matt Serra,Yves Edwards,Matt Serra,UFC 33: Victory in Vegas,Mario Yamasaki,Decision - Majority,0,0,9 of 17,9 of 14,52%,64%,20 of 31,27 of 33,3 of 12,0 of 0,25%,---,3,0
Dave Menne,Gil Castillo,Dave Menne,UFC 33: Victory in Vegas,John McCarthy,Decision - Unanimous,0,0,70 of 125,9 of 25,56%,36%,180 of 241,110 of 126,1 of 1,7 of 19,100%,36%,4,0
Jutaro Nakao,Tony DeSouza,Jutaro Nakao,UFC 33: Victory in Vegas,Mason White,KO/TKO,1,0,8 of 8,1 of 5,100%,20%,16 of 16,45 of 49,0 of 1,0 of 0,0%,---,0,0
Ricardo Almeida,Eugene Jackson,Ricardo Almeida,UFC 33: Victory in Vegas,Mason White,Submission,0,0,4 of 4,1 of 4,100%,25%,16 of 17,18 of 23,1 of 1,2 of 2,100%,100%,1,2
Din Thomas,Fabiano Iha,Din Thomas,UFC 33: Victory in Vegas,John McCarthy,Decision - Unanimous,0,0,42 of 69,19 of 45,60%,42%,98 of 128,46 of 78,1 of 1,2 of 7,100%,28%,0,2
Tito Ortiz,Elvis Sinosic,Tito Ortiz,UFC 32: Showdown in the Meadowlands,John McCarthy,KO/TKO,0,0,35 of 59,3 of 8,59%,37%,58 of 82,12 of 18,1 of 1,0 of 0,100%,---,0,0
BJ Penn,Din Thomas,BJ Penn,UFC 32: Showdown in the Meadowlands,John McCarthy,KO/TKO,1,0,6 of 8,1 of 5,75%,20%,11 of 13,25 of 29,0 of 1,1 of 1,0%,100%,0,0
Josh Barnett,Semmy Schilt,Josh Barnett,UFC 32: Showdown in the Meadowlands,John McCarthy,Submission,0,0,10 of 17,1 of 1,58%,100%,21 of 28,4 of 6,1 of 1,0 of 0,100%,---,1,0
Pat Miletich,Shonie Carter,Pat Miletich,UFC 32: Showdown in the Meadowlands,Mario Yamasaki,KO/TKO,1,0,10 of 16,14 of 42,62%,33%,76 of 83,18 of 47,1 of 1,0 of 0,100%,---,0,0
Caol Uno,Fabiano Iha,Caol Uno,UFC 32: Showdown in the Meadowlands,Mario Yamasaki,KO/TKO,0,0,8 of 17,6 of 13,47%,46%,14 of 24,7 of 14,2 of 4,0 of 0,50%,---,0,1
Vladimir Matyushenko,Yuki Kondo,Vladimir Matyushenko,UFC 32: Showdown in the Meadowlands,John McCarthy,Decision - Unanimous,0,0,17 of 28,1 of 3,60%,33%,119 of 146,79 of 83,3 of 3,0 of 2,100%,0%,0,0
Ricco Rodriguez,Andrei Arlovski,Ricco Rodriguez,UFC 32: Showdown in the Meadowlands,Mason White,KO/TKO,0,0,30 of 50,11 of 26,60%,42%,64 of 84,18 of 33,2 of 8,0 of 1,25%,0%,1,0
Tony DeSouza,Paul Rodriguez,Tony DeSouza,UFC 32: Showdown in the Meadowlands,Mario Yamasaki,Submission,0,0,1 of 3,2 of 2,33%,100%,1 of 3,2 of 2,0 of 0,0 of 1,---,0%,2,0
Randy Couture,Pedro Rizzo,Randy Couture,UFC 31: Locked and Loaded,John McCarthy,Decision - Unanimous,0,1,69 of 118,42 of 108,58%,38%,147 of 197,76 of 144,3 of 15,0 of 0,20%,---,0,0
